gender,SeniorCitizen,Partner,Dependents,tenure,PhoneService,MonthlyCharges,TotalCharges,InternetService,Contract,Churn
Female,1.506925852811908,Yes,Yes,-0.2394641057949387,Yes,-0.508864140601253,-1.797246486037661,DSL,Month-to-month,1
Male,-0.8822586854796457,Yes,No,1.4437461779131666,No,-2.593756004904765,-0.5119612778793368,DSL,One year,0
Male,1.5417215380860363,No,No,-1.8328373178090671,Yes,-1.390891354304458,-2.0864588815405414,DSL,Month-to-month,1
Female,0.34156917921241736,No,No,-2.194716143307643,No,-1.8088524019462264,-0.5152080477806569,DSL,One year,0
Male,-1.2216781854093648,No,No,0.9936137756305582,Yes,-3.1866904277762815,1.547824383673793,Fiber optic,One year,0
Female,1.6908493220751328,Yes,Yes,2.729022648484156,No,1.61159102232756,-0.2403568192389436,DSL,One year,0
Male,0.010617762835828604,No,Yes,-0.8270879211108362,Yes,-3.4776378373803705,0.3527886586855602,Fiber optic,One year,0
Female,-0.7319561957321851,Yes,No,1.034558983005023,Yes,-1.3403059083692859,0.9262023886467085,Fiber optic,One year,0
Female,-0.8813382769180822,No,Yes,2.247650803297432,No,-1.2560716284779545,-1.9906955614520059,Fiber optic,Two year,1
Female,0.5974832233088416,Yes,Yes,-3.2930018470107103,No,-4.1318031781956135,2.8437795217855086,Fiber optic,One year,1
Male,-2.057888190946422,No,Yes,0.5463013817633318,Yes,-3.30119138528352,-1.8483183916398973,Fiber optic,One year,0
Male,-1.167007276430178,Yes,Yes,0.26704219435181065,No,1.3666362395554978,0.09013936825647617,No,Two year,1
Male,-3.4600605311460133,No,No,-0.4306372579530582,Yes,-6.976388209448344,1.4836771088484053,Fiber optic,One year,0
Male,0.6898332804269405,Yes,No,1.4570036131015607,No,0.0017021463921925023,1.0599340583374826,Fiber optic,Month-to-month,0
Female,0.3984369471396818,No,Yes,0.23263826209179694,No,-2.277682643372869,0.5057361593336926,DSL,Month-to-month,1
Female,-1.1492472081174436,No,No,1.0643976299701765,No,-3.8393330737656335,0.7673010038972774,Fiber optic,One year,0
Female,-1.4803226238390188,Yes,No,0.4053550216868891,No,-6.048213343206548,2.7230789370341757,DSL,Month-to-month,0
Male,0.3146111146386177,Yes,No,2.980121850222777,No,1.7755302867374672,-2.3098323282461526,Fiber optic,Two year,0
Female,2.12989322876897,No,Yes,-3.202712624977719,Yes,-2.4984567254434764,2.0321443536178916,DSL,One year,0
Male,1.3739120508812097,Yes,No,-2.6136871646759188,Yes,-0.28545846637177086,1.0920142800604165,DSL,Month-to-month,1
Female,-0.9290605813964502,Yes,No,-5.042581953910574,Yes,-1.7163967495376122,1.5443410876938561,Fiber optic,Two year,1
Male,-1.4649979666031305,Yes,Yes,2.5470559694287234,Yes,-1.650778686203284,-0.4743791731592788,No,One year,0
Female,-2.243093416799044,No,Yes,-1.4161424360426778,No,-2.967958641506847,-0.11498942981114235,DSL,Month-to-month,0
Female,-2.5562457694414595,No,No,-1.0743658752128031,No,-5.6918071528177245,1.1683963274356548,Fiber optic,One year,1
Male,-0.7635351365227118,Yes,No,-1.4883210437479826,Yes,-2.9987338041321556,-2.3656287724463887,No,Two year,0
Male,-1.5735076508011656,Yes,Yes,-2.155509100717427,No,-3.246560128891786,0.7165024757905941,DSL,One year,1
Male,3.263164920304559,Yes,No,0.793677797392937,Yes,2.656137692209206,-0.04432735136027277,DSL,Two year,1
Male,-1.581788431461172,Yes,Yes,1.3691108984913434,No,-4.374911388132641,1.5527562048338477,No,Two year,0
Female,-1.7514098057525813,Yes,No,1.8154620486609436,Yes,-2.435248626562992,3.707417829673137,No,Two year,0
Female,-0.020761746807276382,No,No,-0.849081438793692,No,-3.07524870779324,-1.2442159394646346,No,One year,1
Male,0.09254073667848162,No,No,2.3696591755739425,No,-0.48320925778593143,1.5518691287579003,Fiber optic,One year,0
Female,-5.651102565033643,Yes,Yes,3.012753806562678,Yes,-3.641819090302246,1.43783013454077,DSL,Two year,1
Female,-1.8329550108142811,Yes,Yes,1.3622419589332562,No,-2.5041982796438687,1.0911657388918772,No,Two year,0
Female,-1.056382408226311,Yes,Yes,0.6261851518829283,No,-3.3287956394095377,3.61656242779432,Fiber optic,Month-to-month,0
Male,0.838852582159691,No,Yes,0.2625972874277036,No,-3.153303219269966,0.276254160238804,No,Month-to-month,1
Female,-2.1283861015657393,Yes,No,0.17758004250832737,Yes,-7.358984871347183,-2.3176518471630816,DSL,One year,1
Female,-0.21110055642588743,No,Yes,-1.2612098135468934,Yes,-0.781285019779938,-3.394763356287079,Fiber optic,Two year,0
Female,0.18820597374028303,No,Yes,-2.3914132971895223,Yes,-4.974186904086394,-1.779349306894947,No,One year,0
Female,-1.2652493410901444,No,No,-0.7007410813729992,Yes,-4.205352469786569,-0.5844125792346035,DSL,One year,0
Female,-0.2388727541605482,No,Yes,4.42220297691813,No,1.681055948980059,-0.6985585250361432,DSL,Month-to-month,1
Female,-0.5198810311977557,Yes,Yes,-1.3865768577933493,Yes,-2.6511841289876275,-0.21887142836066908,No,Two year,0
Female,-2.1190630621753463,No,Yes,1.6624404571483629,No,-2.983248266950832,1.2566259876663004,Fiber optic,One year,1
Female,-2.9682694940179464,Yes,Yes,-0.5177102787658832,Yes,-4.150187909479822,0.30195701681763587,DSL,Two year,0
Male,-0.2086788327191632,Yes,Yes,-0.37092832977239165,Yes,-1.551298758484746,0.8535868466800491,Fiber optic,One year,1
Female,-2.6595500440124336,Yes,No,0.06778337427050185,Yes,-4.415787586685824,-3.557840120420904,No,One year,0
Female,-2.146668846617051,No,No,0.14025676865516856,No,-3.6289939324091502,-0.7443918387190694,Fiber optic,Month-to-month,0
Male,-1.2553931888102827,No,No,-2.218460796721109,Yes,-2.9919825025961484,-2.420578396991786,Fiber optic,Two year,0
Female,-1.9528188505888417,Yes,Yes,0.09848024296815061,Yes,-2.0036810181472813,-2.4254836500258685,DSL,Month-to-month,0
Male,-1.1746183069796432,No,Yes,1.5459104361228297,No,-1.861517650531639,0.8987470209454709,No,One year,0
Male,-1.5625577430636022,Yes,No,-0.2581211842084483,Yes,-6.343698470000772,0.8293520061393815,DSL,One year,0
Female,1.429596482151556,No,No,-2.0077135125771886,No,2.354396786002352,1.4354928684830568,DSL,One year,1
Male,-0.6802614321246812,No,Yes,2.428339271208359,Yes,-0.9620877122128726,-1.6375183878834565,Fiber optic,Two year,0
Male,-0.3025621308276978,No,No,2.271443163339126,No,-2.5687181207722953,0.06553465441582795,No,Two year,1
Female,-1.651468674073397,No,No,-1.3831147629587406,Yes,-3.3653206812019607,-4.202705057640685,DSL,Month-to-month,0
Female,-0.9967198195917828,Yes,Yes,0.48919204821213624,Yes,-5.132904885609583,4.075630828410596,Fiber optic,Two year,0
Male,-1.3553761040509131,Yes,No,1.7778246055779001,No,-2.8909983627191234,1.0824358894754265,No,Month-to-month,0
Male,-1.0792733995889119,Yes,Yes,-0.49155670644776195,Yes,-2.918318437299537,-2.5306751678515704,Fiber optic,One year,0
Female,0.10119700843001755,Yes,No,2.143471720391085,Yes,1.3047755425445513,0.5882238452287956,DSL,Two year,0
Female,1.3758350085090374,Yes,Yes,-2.6400866838856616,No,-2.376400731812368,-1.0301712410785957,DSL,Month-to-month,0
Female,-0.2243834956986811,No,No,-1.0747993290474263,Yes,-3.6782157302077163,0.8291913989952309,No,One year,0
Female,1.996857171736345,Yes,Yes,1.4458228687083299,Yes,3.9342963429418103,0.7694118330810944,Fiber optic,Two year,1
Female,-0.11564523454137199,Yes,Yes,-1.5618307216748566,Yes,-1.7547187800508868,2.4575739226073274,No,One year,1
Male,-1.3212325482726899,Yes,No,1.6079290357431444,Yes,-1.669004917707109,-0.9267759252220851,DSL,Month-to-month,0
Male,-0.2074013103126141,No,No,-2.6490986748649012,Yes,-0.8752490741081046,-0.5326735106949744,DSL,One year,0
Female,-1.7723358277516665,No,Yes,0.2626435562002868,Yes,-4.21124133534022,-1.4629969772552833,No,Two year,0
Female,-3.8621981833405754,Yes,No,1.0671773836997827,Yes,0.23092676698555095,1.3989554919526412,DSL,Month-to-month,1
Male,-1.3082966102910385,No,No,-5.385125273210758,No,-0.5727841343027159,-0.3135114497849222,Fiber optic,One year,0
Female,-3.0524991735497764,No,Yes,-0.8370129762304698,No,-3.422262686615263,2.463147246625179,Fiber optic,One year,1
Female,-0.5731516760668982,No,No,1.9610421877493995,Yes,-0.2178853251617829,0.1877799565356172,No,Two year,0
Female,0.7834380898146447,No,Yes,-3.088705472366518,Yes,-0.9998469525295014,0.6439853177941516,Fiber optic,Month-to-month,1
Female,-1.3810879634656499,Yes,No,0.4019951439882552,No,-0.6726124748618072,1.3757594694628865,No,Two year,0
Female,-1.1216005097605126,Yes,Yes,1.0280231140269038,No,-2.7490592924253154,1.2915584859898321,No,Two year,0
Male,1.482073696716221,Yes,Yes,-3.175037640249184,Yes,-1.1846890544006536,1.1475561691305072,Fiber optic,One year,0
Male,-1.0905523903818166,Yes,No,-1.7269061835545083,Yes,-3.4490003544653525,-1.5960108299484705,Fiber optic,Two year,0
Female,-2.4158670729929,No,No,-0.9813883441846883,Yes,-2.974017673671205,-3.0248121704744237,DSL,Two year,0
Male,-1.0207082127724842,Yes,No,0.37935398216416005,No,-1.7216630596539988,-1.4318978875948674,DSL,Two year,0
Female,3.6720491042092616,Yes,Yes,0.39555824337700973,No,4.1644533935821295,1.288652074859697,DSL,Month-to-month,1
Male,3.6521220015342433,Yes,No,5.046719104588883,No,6.349801455535716,-1.3058011235051397,No,Month-to-month,0
Female,-1.818209596209305,No,Yes,3.259137811049537,Yes,-1.544104490287322,-1.544232595676454,Fiber optic,Month-to-month,1
Male,-1.8036358337414584,No,Yes,-1.0107911117712525,Yes,-4.179008280290701,-1.4344722593495853,No,Two year,0
Male,-1.208036378042686,Yes,Yes,1.1010221975050332,Yes,-1.882978051079234,-0.15277126925948226,No,One year,0
Female,-2.713891900716476,Yes,Yes,-1.884750752273688,Yes,-3.237572204612916,0.2737231369965254,DSL,One year,0
Female,-2.184553935233124,Yes,No,0.08796420007935624,Yes,-2.46161970227175,1.5892207584569558,Fiber optic,Two year,0
Female,-0.2186698398975826,No,Yes,-3.692670540629924,Yes,2.349012670497537,1.6266325758325566,Fiber optic,Month-to-month,1
Female,-3.7415894704589046,No,No,-1.0045665450369392,Yes,-8.11316896564979,1.7890444374666594,DSL,Two year,0
Male,-0.7794513922788435,Yes,Yes,-1.010037348911462,No,-2.1251598273346826,1.2530178675012666,No,One year,0
Female,1.2781949835475341,No,Yes,-2.23869353240865,Yes,1.160438170458065,2.888250425398778,Fiber optic,Month-to-month,1
Female,0.7113405751461086,No,No,3.862687858803081,No,3.66165108928275,-2.96262631099202,No,One year,0
Male,0.41784593163185013,No,Yes,0.28319867133310517,Yes,-1.4981035159493734,-2.3379103794481955,Fiber optic,One year,0
Female,-0.21286381172623015,Yes,Yes,3.2327295956045043,Yes,1.2997258058321126,1.9431751612518715,No,Two year,0
Female,-2.586003555644819,Yes,Yes,1.0093339326299435,No,-4.995178050804206,1.2674118739687974,DSL,Month-to-month,0
Female,-1.61532711226441,No,Yes,0.4887313881436265,No,-2.333074249290971,0.17261770463825676,DSL,Two year,0
Male,-2.7149602973765767,No,Yes,0.026864385996275386,Yes,-2.8918364185230194,-4.303063416695613,DSL,Two year,0
Male,-0.7220538608080276,No,Yes,1.5173066471939005,Yes,0.19415829459976186,-0.38496974142429785,DSL,Two year,0
Female,-0.879795296015766,No,Yes,0.9329969273161566,Yes,-3.2414238960557995,-1.9846939843786766,No,One year,1
Female,-0.9814561626793737,No,No,-0.08142680825392656,Yes,-2.0694031305420024,-2.3682836244025705,No,One year,0
Male,-0.5461050096596598,Yes,No,0.9911330159783517,Yes,-2.2425167028955655,2.5695736332366685,Fiber optic,Month-to-month,0
Female,-2.8394504297177745,Yes,No,2.1621176656054755,No,-4.824187036333715,1.4900937713914828,DSL,One year,1
Female,-0.9717178477614968,Yes,Yes,1.2150922613803115,Yes,-4.565998076050076,-2.535883473462132,No,Month-to-month,0
Male,0.2976915158263622,No,Yes,0.06252536121581964,Yes,-3.3731957263557395,0.22588049344982908,DSL,One year,0
Male,-1.2414551810875976,No,No,-0.3118613522999578,Yes,-4.0032896423476565,1.5629760221497628,DSL,Two year,1
Male,-0.723563293092689,Yes,Yes,1.4688907950709018,No,-2.2649961107873273,-0.6858984025894148,No,Two year,0
Male,-1.8513685891066265,No,Yes,0.4892242000445609,No,-2.973061691758646,0.8876622258886794,No,Month-to-month,0
Female,-1.3922255066619866,No,Yes,2.2307475892944315,Yes,-0.7374393458164976,-0.6664433090916011,DSL,Two year,0
Female,-0.49131309518790667,Yes,Yes,-1.9498293830507705,No,-0.8157309905649978,1.657824947635703,No,Month-to-month,1
Female,2.1870714595237057,No,Yes,2.5955224274829076,No,2.546181272843866,1.3536716313332477,Fiber optic,One year,1
Male,1.6107809561404118,Yes,No,0.3825949596292356,No,0.5545499346916817,3.47591033033237,DSL,One year,0
Male,-2.5050861761798737,Yes,No,-1.645430270969333,No,-9.273184500860815,5.0012816281457475,No,Two year,0
Male,-1.6357521989904524,Yes,No,0.33455387417379834,No,-3.4566371507222415,0.3667535653902303,Fiber optic,One year,0
Male,1.0955627678401059,Yes,Yes,-2.851164227440545,Yes,0.8549397207699594,-0.8399863014223907,No,Month-to-month,0
Male,-3.097780545276068,No,No,0.5836443827951161,Yes,-6.175556291817126,0.6778346805210688,DSL,Two year,0
Male,0.7642531844230476,Yes,No,1.8458196033105039,No,3.422696269713223,-0.4405824306045537,Fiber optic,Two year,1
Male,-1.2358720762092652,No,No,1.4647696211565782,No,-4.709417463880198,-3.1441413974021595,Fiber optic,One year,0
Female,0.2131374806931685,No,No,1.0377962987266973,No,0.7977017271744409,-2.6493017164627473,No,One year,1
Female,1.4963927828693482,Yes,Yes,-1.9454153029420844,Yes,-3.52324476319812,0.2621900451302581,Fiber optic,Month-to-month,0
Female,1.4650036192904208,Yes,Yes,2.746689732303987,Yes,3.80322921397049,-1.2013630919827483,DSL,One year,1
Female,-5.244771418384225,No,No,-2.6481875327541036,Yes,-12.195646711123047,1.5398126344387646,No,One year,0
Male,0.09615249589369312,Yes,No,3.321134911011169,No,1.3741438068958904,-0.5229802139035475,Fiber optic,One year,1
Male,-2.837951002818266,No,No,-0.058521743810748705,Yes,-7.356335750074384,1.1582271133173236,DSL,Month-to-month,0
Female,2.686281351127461,No,No,-1.5233090058829086,No,2.7975710184979063,0.04043087526242406,Fiber optic,Month-to-month,1
Female,-1.8079448439802173,Yes,Yes,0.22221181568978388,No,-2.3219016607076286,-1.6687066800713417,DSL,Two year,0
Male,-4.0383725166757465,Yes,No,-2.4705787079982993,Yes,-9.353956988601986,0.6368379214946777,DSL,Two year,0
Male,-3.0092140850923683,No,No,-0.3504587830713235,No,-4.218045686452221,0.6520974703130773,No,One year,1
Female,-1.8240548103034446,No,Yes,0.15681914892349702,No,-3.5667789813525315,-0.8989013286882228,No,One year,0
Male,0.9947513174123066,Yes,No,2.034470939512361,No,1.7675940778914423,1.2853637463967393,DSL,Month-to-month,0
Female,-3.094885880073567,Yes,Yes,-0.45485239413807743,No,-3.8299467831464344,-3.3801317007063685,No,Two year,0
Female,0.9205669216560175,No,No,-1.154536577237559,Yes,-5.236090883663416,1.5134082238275406,Fiber optic,Month-to-month,0
Male,-2.318850465428508,Yes,No,0.3733965791906475,No,-3.622053459438004,-5.128656715667392,Fiber optic,Month-to-month,1
Female,1.7991093675853058,No,No,1.7434174586336133,No,6.642635261488413,-0.750607171783252,DSL,Month-to-month,1
Female,-0.27515413699068136,No,No,0.3009412551028071,No,-3.3654380286996735,3.0880132487806082,Fiber optic,One year,0
Female,-2.130854957352303,Yes,No,0.40277076622133934,Yes,-0.7812805434441646,-1.061361908955614,No,Month-to-month,0
Male,0.5404339930105415,No,Yes,-0.441388978062653,No,-3.4362467192419355,2.8269044680622426,Fiber optic,Two year,1
Male,-0.2582110496790915,No,No,-0.4682997919698285,Yes,0.654634204334856,1.5693378982847326,DSL,Month-to-month,1
Male,0.9490885496762806,No,Yes,3.7202175485318505,No,4.4593990085159065,-1.1771524190114415,DSL,One year,0
Male,0.45486788640534215,Yes,Yes,1.3301510396564558,Yes,-0.20510029572438512,2.2967101841615998,Fiber optic,Two year,0
Female,-0.08176405912508744,No,Yes,-2.525878080174135,No,-3.028325389681673,-0.0763998514340577,No,Month-to-month,0
Male,0.2739618756147004,Yes,No,1.4843475752437043,No,0.32067431747039876,-1.5438823297138695,No,Month-to-month,0
Female,-3.005326243389995,No,No,2.3033973473039167,No,-3.741546959813419,-4.955650862877799,No,Two year,0
Male,-1.2479317392690596,Yes,No,0.38539087301655717,No,-1.1904954567304995,-1.8323749987149207,DSL,Two year,0
Female,-1.4434738868879569,No,No,-0.5217828641521827,Yes,-3.2264042260618186,-2.647448822074962,Fiber optic,One year,0
Male,-1.0843202075457292,No,Yes,0.6885215519472634,Yes,-0.5743765188360063,2.8556391734920394,No,One year,0
Male,-0.29433333510331616,Yes,No,1.7739343544965689,Yes,1.030781477794528,-2.396998667887366,Fiber optic,One year,0
Male,-1.8154789390925825,No,Yes,0.4806146162476215,No,-5.383859440343831,-1.2326234981404818,DSL,Month-to-month,0
Female,-2.8674808283057605,No,Yes,-1.8149136710363232,No,-2.3190353305014715,2.168890084753067,No,Month-to-month,1
Male,-2.7281392443388675,No,No,1.1713180467791315,No,-4.748721842759636,0.03850959520364605,Fiber optic,Month-to-month,1
Male,-0.8933509634505967,Yes,Yes,-1.3151554209356844,Yes,-0.19122376547191466,-3.543732918170022,No,Two year,0
Female,-2.358329834209756,Yes,Yes,0.084762073762635,Yes,-4.953838133023017,0.9423632378071986,Fiber optic,One year,0
Male,-1.9537318546087836,No,No,-2.400819444463055,Yes,-3.408893902395243,2.599897758896496,DSL,One year,1
Female,-0.5631451792097257,Yes,Yes,2.3465182631912613,No,-2.2233325208350734,-0.6804823165649747,Fiber optic,Two year,0
Male,-1.3177086607586177,No,No,0.7477632284968898,No,0.19990707440414093,-1.9514885193088722,No,Month-to-month,0
Female,-0.8227281077855071,Yes,Yes,-0.45099833361631436,No,-3.568367158456501,0.1309012619346872,DSL,One year,0
Male,-0.41264968774915034,No,No,-2.6681966662787353,Yes,-3.88847708273661,0.14036895355714973,Fiber optic,Month-to-month,0
Male,0.7666080862232987,No,No,-0.01364594154189347,Yes,1.4247055530421813,-0.665983167049404,Fiber optic,One year,1
Female,1.4119608819155693,Yes,No,0.12146690458821041,No,-1.8488533476741642,2.240506214047433,No,One year,1
Male,-3.281708540718732,No,Yes,-0.45059580151032497,Yes,-4.453847471842758,-3.2298064385108156,DSL,Month-to-month,0
Female,-0.29811675407270144,No,No,-1.5660461642958916,No,-1.9856856371394709,-2.178162266669732,DSL,One year,1
Female,-0.08947650939159824,Yes,Yes,-2.7343217285280756,Yes,-3.6429242949408747,0.8525583611830887,No,One year,0
Male,-1.8478144320195986,No,No,-2.3681569404136136,Yes,-4.01348953760426,0.2625853905932891,No,Month-to-month,0
Male,-2.7350092424796126,No,No,-0.7424047363375526,Yes,-6.607528785471974,-1.935658526478683,Fiber optic,Month-to-month,0
Female,-0.34454389212290504,Yes,Yes,0.6597546799253271,No,-0.4002869287755831,-1.483265983840759,No,Two year,0
Female,-0.5833388228319034,Yes,No,-0.4669724606198249,No,-1.3476781336843107,-1.4438193810919708,No,Month-to-month,0
Male,-3.9615092581400857,Yes,No,-0.30846478344828054,No,-2.410109947925148,-1.7494668273305156,No,Month-to-month,0
Male,-1.7181582760025749,Yes,Yes,0.10883092805891048,No,-4.499429541858879,-0.20482163067233916,Fiber optic,One year,0
Female,0.656707677241043,No,No,-2.845015051981494,Yes,1.0617098876119888,2.552747613028352,No,Two year,1
Male,-1.7653793144718517,No,No,0.6988044901932228,Yes,-4.199862464007173,0.15061941668168122,No,Month-to-month,0
Female,0.010818374237515194,No,Yes,-1.0104107040526957,No,1.2888065952245162,-2.1753773295912797,Fiber optic,One year,0
Male,0.811431241382194,No,Yes,3.7316337274478073,Yes,1.2246266490562174,-0.023603056923861443,DSL,Month-to-month,0
Male,-2.166990770878516,No,No,0.26634841551334976,No,-2.310034768993599,-3.4120426522678087,No,One year,0
Male,-0.7746105502353176,No,Yes,1.9464023980742784,No,-4.146080437596493,3.907371079314947,No,Two year,0
Male,0.9144099601797118,Yes,No,-1.0115146239908877,Yes,-2.4776156146247788,0.840913001799259,No,One year,0
Male,-3.3094446589798006,No,Yes,0.4869682085269331,No,-2.722568966360554,-2.85161405564736,No,Two year,0
Male,-0.6720338073271184,Yes,Yes,0.7419609835955594,No,-0.2196409401379744,-0.12954158808655603,DSL,Month-to-month,0
Male,-2.0018315454887166,Yes,No,-0.9314669893129479,No,-6.565729712273942,-2.950627727134493,No,Two year,0
Male,-0.6116030862433792,Yes,No,-1.4763616186247257,Yes,-3.8069031363083554,-3.152736341184243,No,Month-to-month,0
Female,1.4264852213441874,Yes,No,0.8146106397724863,No,-1.7476428397212764,-0.9130102712501272,No,Two year,1
Male,3.3127255587106985,No,Yes,-3.7462654711661414,No,0.6262480072842806,2.799076910937251,No,One year,0
Female,-3.4121212123439606,Yes,Yes,0.1021741951342714,No,-6.8335079244133805,1.1192251684331835,Fiber optic,Month-to-month,0
Male,0.16904131978900705,No,No,0.20370850999357648,No,-3.1975326743075505,0.2998954885878349,No,Month-to-month,1
Male,-1.8912811446563296,No,No,-0.30154398731807364,Yes,-6.986978584438689,3.113061283181485,DSL,One year,0
Male,-3.68420576918288,No,No,-1.2613511697770634,Yes,-8.529622152058609,2.071049955606846,No,Month-to-month,0
Female,-0.34519763659378144,No,No,-0.5621514966615246,No,-1.6412115595739354,-0.45647446774671085,No,Two year,0
Female,-2.6896937929581317,Yes,No,3.6171797314720466,No,-2.4049616276504633,-1.8678126333091267,Fiber optic,Month-to-month,0
Male,1.1902384826673238,Yes,Yes,-3.336439847293224,No,-0.03457734744193431,5.681744449087443,DSL,Month-to-month,1
Female,-1.0740282806547945,No,No,-1.2187821198634778,Yes,-4.2184570805094666,0.525211123270553,No,One year,0
Female,-1.7411220549079198,Yes,Yes,1.021215435735419,No,-3.8865301774052154,0.36794385106465444,No,Two year,0
Male,-0.6666987070140851,Yes,Yes,-2.974357187399276,No,-2.969529615912489,0.384274748509822,DSL,Two year,1
Male,-0.31476558900590057,Yes,Yes,0.007355515527529333,No,-5.0468889751673744,1.2505221835128157,DSL,Month-to-month,0
Female,-4.0019084441391914,Yes,No,0.1692933798752727,No,-7.8510663300158505,-2.3052788643694155,No,One year,0
Male,1.274824257187059,Yes,Yes,-5.016239817067324,No,-2.0687391115808142,-1.1049477461918504,No,Month-to-month,0
Male,-1.7776441645295482,Yes,No,0.2778969021474038,Yes,-6.778355005258569,1.3280139202128223,Fiber optic,Month-to-month,0
Female,0.19807359067317565,Yes,Yes,1.3855381834225924,No,-2.017389048312643,1.9466404224806066,DSL,One year,0
Female,2.0439471543063985,No,No,-0.7990808089269977,No,0.3617708753097647,1.4767310944323464,No,One year,1
Male,-1.7766361232562469,No,Yes,-0.9102677332496761,Yes,-3.1180522815531186,0.5696421568370433,Fiber optic,One year,1
Male,-2.4834942392849655,No,No,-0.31962838098748914,No,-3.888042448409594,-1.3314798098194758,Fiber optic,One year,0
Male,-0.201874570594744,No,Yes,1.512758285208845,No,0.5456119051997956,1.533919403776876,DSL,Two year,0
Female,-1.7707656290933547,No,No,2.2104170397198235,No,-0.10290339962070949,-4.570869963732781,DSL,One year,1
Male,0.16918323640609145,No,No,-2.819419239119136,Yes,-2.415198318930675,1.8693158840516282,DSL,Month-to-month,0
Male,1.6052900321585164,No,Yes,0.6497658330544067,Yes,3.5855385337206123,-2.209858004768866,DSL,One year,1
Male,-0.719286571276015,Yes,No,-0.6848711604688495,No,-3.2639825206355972,0.5656281153816456,Fiber optic,Month-to-month,0
Female,-2.5051131869785577,Yes,Yes,1.6682404414586651,No,-4.9018678158106,0.9024091418597504,No,Month-to-month,1
Male,-3.0995488731694514,Yes,No,-0.06070362102063431,Yes,-4.1399930493495685,-0.9750206198999778,Fiber optic,One year,0
Female,-0.6788676689003463,No,Yes,1.7893207880925805,No,-2.8423362109408266,-0.6828417110056886,No,Two year,0
Male,2.7781997623510337,Yes,No,-0.5294996619898711,No,2.9888024086158493,-0.6139834345346467,DSL,Two year,1
Female,0.16120173489265022,No,Yes,1.5190607231073745,No,-1.0529723281639611,0.525909327456167,No,Month-to-month,0
Male,-1.2185557475193405,No,Yes,0.3143789128980118,No,-3.830911640398528,-0.8217714249621499,DSL,One year,0
Male,-1.3328026576608611,No,Yes,-0.7395840786137885,No,-0.9463562336250658,-3.305772819473905,No,One year,0
Male,0.8133516482048928,Yes,No,2.747944304797218,Yes,2.2547875160948005,0.8662238334827181,No,Month-to-month,0
Male,-1.8432177302934978,No,Yes,-0.760203429166528,No,-4.79244065348126,1.4373773329507147,Fiber optic,One year,0
Female,-1.4740822246609226,No,Yes,-2.683214305625798,Yes,-6.285100123469814,1.5106082957049205,Fiber optic,Month-to-month,1
Female,-0.71203171069111,No,Yes,2.262588236348524,Yes,1.44079927788582,-1.3023036134566262,Fiber optic,One year,0
Male,-0.5003928944173319,No,No,2.0971673459126556,No,-0.080931410343066,-4.88247158614684,No,One year,1
